x,y,z,xx,yy,zz
0.0 , 0.0 , 0.0 , 23.3 , 32.9 , 106.5
15.801917 , 22.31258 , 72.227646 , 22.8 , 32.2 , 106.3
18.895733 , 26.683743 , 87.28588 , 22.1 , 31.2 , 107.3
20.058525 , 28.322725 , 94.504745 , 21.8 , 30.8 , 106.6
20.647268 , 29.159826 , 98.52421 , 21.5 , 30.3 , 105.8
20.945646 , 29.562004 , 100.93327 , 20.8 , 29.1 , 107.6
20.948744 , 29.491156 , 103.13761 , 19.8 , 27.6 , 110.0
20.66135 , 29.006117 , 105.40683 , 20.0 , 27.8 , 106.2
20.510227 , 28.711592 , 105.95188 , 19.1 , 26.7 , 107.9
20.140219 , 28.179228 , 106.83344 , 18.6 , 26.3 , 107.3
19.725088 , 27.674047 , 107.29883 , 17.6 , 25.3 , 108.6
19.725088 , 27.674047 , 107.29883 , 17.6 , 25.3 , 108.6
19.132582 , 27.01552 , 108.00752 , 15.3 , 23.1 , 112.7
18.035187 , 25.898563 , 109.702156 , 14.2 , 22.1 , 114.2
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
16.91487 , 24.792711 , 111.36779 , 13.5 , 21.7 , 112.9
15.89382 , 23.868786 , 112.203026 , 7.5 , 15.7 , 118.9
15.89382 , 23.868786 , 112.203026 , 7.5 , 15.7 , 118.9
13.415248 , 21.461123 , 114.53873 , 6.2 , 14.0 , 118.3
13.415248 , 21.461123 , 114.53873 , 6.2 , 14.0 , 118.3
11.229378 , 19.211432 , 116.064644 , 5.2 , 12.0 , 117.8
9.345239 , 16.99172 , 117.02679 , 4.7 , 11.0 , 118.9
7.826905 , 15.083715 , 118.03858 , 4.3 , 10.2 , 116.8
7.826905 , 15.083715 , 118.03858 , 4.3 , 10.2 , 116.8
7.826905 , 15.083715 , 118.03858 , 4.3 , 10.2 , 116.8
6.6054335 , 13.462093 , 118.16259 , 3.5 , 7.5 , 115.8
5.485924 , 11.502026 , 117.95548 , 3.2 , 7.0 , 114.3
4.5855947 , 9.930221 , 117.36245 , 2.9 , 6.1 , 116.4
3.8457055 , 8.527292 , 117.52637 , 2.6 , 5.6 , 113.6
3.8457055 , 8.527292 , 117.52637 , 2.6 , 5.6 , 113.6
3.2232542 , 7.3635817 , 116.83038 , 2.2 , 4.3 , 110.3
2.6579323 , 6.1443644 , 115.36239 , 2.0 , 3.7 , 110.4
2.192124 , 5.0867114 , 114.311035 , 1.8 , 3.0 , 108.9
1.7991095 , 4.118581 , 113.10364 , 1.7 , 2.3 , 110.3
1.4881456 , 3.216103 , 112.61827 , 1.5 , 1.7 , 108.1
1.2083534 , 2.3906085 , 111.62393 , 1.3 , 1.2 , 109.1
0.95134455 , 1.6503369 , 111.179634 , 1.1 , 0.8 , 109.3
0.71098137 , 1.0012697 , 110.907234 , 1.0 , 0.4 , 107.6
0.51155835 , 0.41895294 , 110.213745 , 0.8 , 0.1 , 107.9
0.3132522 , -0.08572925 , 109.788445 , 0.7 , -0.1 , 107.0
