x,y,z,xx,yy,zz
0.0 , 0.0 , 0.0 , -46.7 , -4.3 , -20.4
-31.671654 , -2.9162338 , -13.835155 , -46.7 , -4.3 , -20.4
-38.313217 , -3.5277696 , -16.736393 , -46.7 , -4.3 , -20.4
-41.34097 , -3.806556 , -18.05901 , -46.7 , -4.3 , -20.4
-43.12018 , -3.9703805 , -18.836224 , -46.7 , -4.3 , -20.4
-44.292805 , -4.0783525 , -19.348461 , -46.7 , -4.3 , -20.4
-44.292805 , -4.0783525 , -19.348461 , -46.7 , -4.3 , -20.4
-45.109226 , -4.1535263 , -19.705101 , -46.7 , -4.3 , -20.4
-45.692345 , -4.207218 , -19.959824 , -46.7 , -4.3 , -20.4
-46.11324 , -4.2459726 , -20.143684 , -46.7 , -4.3 , -20.4
-46.417847 , -4.27402 , -20.276747 , -46.7 , -4.3 , -20.4
-46.637913 , -4.2942834 , -20.372877 , -46.7 , -4.3 , -20.4
-46.796154 , -4.308854 , -20.442003 , -46.7 , -4.3 , -20.4
-46.909122 , -4.3192554 , -20.49135 , -46.7 , -4.3 , -20.4
-46.98894 , -4.326605 , -20.526218 , -46.7 , -4.3 , -20.4
-47.044525 , -4.331723 , -20.550499 , -46.7 , -4.3 , -20.4
-47.044525 , -4.331723 , -20.550499 , -46.7 , -4.3 , -20.4
-47.08242 , -4.335212 , -20.567053 , -46.7 , -4.3 , -20.4
-47.107433 , -4.3375154 , -20.577978 , -46.7 , -4.3 , -20.4
-47.12308 , -4.3389564 , -20.584814 , -46.7 , -4.3 , -20.4
-47.131943 , -4.339772 , -20.588686 , -46.7 , -4.3 , -20.4
-47.135902 , -4.340137 , -20.590416 , -46.7 , -4.3 , -20.4
-47.136337 , -4.340177 , -20.590605 , -46.7 , -4.3 , -20.4
-47.136337 , -4.340177 , -20.590605 , -46.7 , -4.3 , -20.4
-47.134254 , -4.3399854 , -20.589695 , -46.7 , -4.3 , -20.4
-47.130386 , -4.3396287 , -20.588005 , -46.7 , -4.3 , -20.4
-47.125263 , -4.339157 , -20.585768 , -46.7 , -4.3 , -20.4
-47.125263 , -4.339157 , -20.585768 , -46.7 , -4.3 , -20.4
-47.119278 , -4.338606 , -20.583153 , -46.7 , -4.3 , -20.4
-47.112705 , -4.338001 , -20.580282 , -46.7 , -4.3 , -20.4
-47.10576 , -4.3373613 , -20.577248 , -46.7 , -4.3 , -20.4
-47.09858 , -4.3367 , -20.57411 , -46.7 , -4.3 , -20.4
-47.091274 , -4.3360276 , -20.57092 , -46.7 , -4.3 , -20.4
-47.083923 , -4.3353505 , -20.567709 , -46.7 , -4.3 , -20.4
-47.076576 , -4.334674 , -20.564499 , -46.7 , -4.3 , -20.4
-47.06927 , -4.3340015 , -20.561308 , -46.7 , -4.3 , -20.4
-47.06204 , -4.333336 , -20.55815 , -46.7 , -4.3 , -20.4
-47.054897 , -4.332678 , -20.555029 , -46.7 , -4.3 , -20.4
-47.047855 , -4.33203 , -20.551952 , -46.7 , -4.3 , -20.4
-47.040924 , -4.3313913 , -20.548925 , -46.7 , -4.3 , -20.4
-47.034103 , -4.3307633 , -20.545946 , -46.7 , -4.3 , -20.4
-47.0274 , -4.3301463 , -20.543018 , -46.7 , -4.3 , -20.4
-47.020817 , -4.3295403 , -20.540142 , -46.7 , -4.3 , -20.4
