x,y,z,xx,yy,zz
x,y,z,xx,yy,zz
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-43.510983 , -1.3704246 , -19.871157 , -38.1 , -1.2 , -17.4
-41.60964 , -1.3105398 , -19.002827 , -38.1 , -1.2 , -17.4
-40.2626 , -1.2681135 , -18.387644 , -38.1 , -1.2 , -17.4
-39.409836 , -1.2412547 , -17.99819 , -38.1 , -1.2 , -17.4
-38.88855 , -1.2248361 , -17.760126 , -38.1 , -1.2 , -17.4
-38.5737 , -1.2149198 , -17.616337 , -38.1 , -1.2 , -17.4
-38.384346 , -1.2089558 , -17.529858 , -38.1 , -1.2 , -17.4
-38.270638 , -1.2053744 , -17.477926 , -38.1 , -1.2 , -17.4
-38.202385 , -1.2032248 , -17.446758 , -38.1 , -1.2 , -17.4
-38.161434 , -1.2019349 , -17.428055 , -38.1 , -1.2 , -17.4
-38.13686 , -1.201161 , -17.416832 , -38.1 , -1.2 , -17.4
-38.122112 , -1.2006966 , -17.410097 , -38.1 , -1.2 , -17.4
-38.11327 , -1.200418 , -17.40606 , -38.1 , -1.2 , -17.4
-38.10796 , -1.2002507 , -17.403637 , -38.1 , -1.2 , -17.4
-38.104774 , -1.2001505 , -17.402182 , -38.1 , -1.2 , -17.4
-38.102863 , -1.2000903 , -17.401308 , -38.1 , -1.2 , -17.4
-38.10172 , -1.2000543 , -17.400785 , -38.1 , -1.2 , -17.4
-38.101032 , -1.2000326 , -17.40047 , -38.1 , -1.2 , -17.4
-38.100616 , -1.2000195 , -17.400282 , -38.1 , -1.2 , -17.4
-38.10037 , -1.2000117 , -17.40017 , -38.1 , -1.2 , -17.4
-38.100224 , -1.2000071 , -17.4001 , -38.1 , -1.2 , -17.4
-38.100132 , -1.2000042 , -17.40006 , -38.1 , -1.2 , -17.4
-38.10008 , -1.2000026 , -17.400036 , -38.1 , -1.2 , -17.4
-38.100048 , -1.2000016 , -17.40002 , -38.1 , -1.2 , -17.4
-38.100025 , -1.2000009 , -17.400013 , -38.1 , -1.2 , -17.4
-38.100018 , -1.2000006 , -17.400007 , -38.1 , -1.2 , -17.4
-38.10001 , -1.2000004 , -17.400005 , -38.1 , -1.2 , -17.4
-38.100002 , -1.2000002 , -17.400002 , -38.1 , -1.2 , -17.4
-38.100002 , -1.2000002 , -17.400002 , -38.1 , -1.2 , -17.4
-38.100002 , -1.2000002 , -17.400002 , -38.1 , -1.2 , -17.4
-38.100002 , -1.2000002 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.1 , -1.2 , -17.4 , -38.1 , -1.2 , -17.4
-38.100033 , -1.2 , -17.400034 , -38.3 , -1.2 , -17.6
-38.299965 , -1.2 , -17.599966 , -38.1 , -1.2 , -17.4
-38.219994 , -1.2 , -17.519993 , -38.1 , -1.2 , -17.4
-38.011997 , -1.2 , -17.312004 , -38.1 , -1.2 , -17.4
-38.0872 , -1.2 , -17.3872 , -38.1 , -1.2 , -17.4
