x,y,z,xx,yy,zz
24.8 , -7.5 , -19.7 , 24.8 , -7.5 , -19.7
24.8 , -7.5 , -19.7 , 24.8 , -7.5 , -19.7
25.492779 , -7.70951 , -20.250315 , 24.8 , -7.5 , -19.7
28.762623 , -8.698355 , -22.856524 , 25.5 , -7.7 , -25.6
27.447346 , -8.290561 , -26.395018 , 24.8 , -7.5 , -19.7
26.556831 , -8.024632 , -24.142952 , 24.8 , -7.5 , -19.7
25.348513 , -7.6710215 , -17.786833 , 24.8 , -7.5 , -19.7
25.269255 , -7.6426597 , -19.730886 , 24.8 , -7.5 , -19.7
25.081629 , -7.5856185 , -19.718536 , 24.8 , -7.5 , -19.7
24.992968 , -7.558087 , -19.976912 , 25.5 , -7.7 , -25.6
25.6014 , -7.730827 , -25.606674 , 25.5 , -7.7 , -25.6
25.82463 , -7.793718 , -27.894695 , 24.8 , -7.5 , -19.7
24.94832 , -7.543045 , -20.645235 , 24.8 , -7.5 , -19.7
24.4724 , -7.406797 , -16.757458 , 24.8 , -7.5 , -19.7
24.741484 , -7.483522 , -19.09696 , 24.8 , -7.5 , -19.7
24.764881 , -7.4901104 , -19.33808 , 24.8 , -7.5 , -19.7
24.778927 , -7.4940658 , -19.482826 , 24.8 , -7.5 , -19.7
24.787355 , -7.4964395 , -19.56969 , 24.8 , -7.5 , -19.7
24.792414 , -7.497864 , -19.621813 , 24.8 , -7.5 , -19.7
24.795448 , -7.4987187 , -19.653091 , 24.8 , -7.5 , -19.7
24.797268 , -7.499231 , -19.671854 , 24.8 , -7.5 , -19.7
24.832443 , -7.5092764 , -19.970533 , 25.5 , -7.7 , -25.6
25.465359 , -7.6901054 , -25.306263 , 24.8 , -7.5 , -19.7
25.212437 , -7.6178412 , -23.17517 , 24.8 , -7.5 , -19.7
24.494064 , -7.4125915 , -17.120749 , 24.8 , -7.5 , -19.7
24.754995 , -7.4871426 , -19.32028 , 24.8 , -7.5 , -19.7
24.772993 , -7.492285 , -19.472143 , 24.8 , -7.5 , -19.7
24.783794 , -7.4953704 , -19.563278 , 24.8 , -7.5 , -19.7
24.790277 , -7.497223 , -19.61797 , 24.8 , -7.5 , -19.7
24.794165 , -7.4983335 , -19.65078 , 24.8 , -7.5 , -19.7
24.7965 , -7.499 , -19.67047 , 24.8 , -7.5 , -19.7
24.7979 , -7.4993997 , -19.682281 , 24.8 , -7.5 , -19.7
24.798738 , -7.49964 , -19.68937 , 24.8 , -7.5 , -19.7
24.799242 , -7.499784 , -19.69362 , 24.8 , -7.5 , -19.7
24.799545 , -7.4998703 , -19.696173 , 24.8 , -7.5 , -19.7
24.799726 , -7.4999223 , -19.697704 , 24.8 , -7.5 , -19.7
24.799837 , -7.4999533 , -19.698622 , 24.8 , -7.5 , -19.7
24.799902 , -7.499972 , -19.699175 , 24.8 , -7.5 , -19.7
24.79994 , -7.4999833 , -19.699505 , 24.8 , -7.5 , -19.7
24.799963 , -7.49999 , -19.699703 , 24.8 , -7.5 , -19.7
24.833807 , -7.509659 , -19.984945 , 25.5 , -7.7 , -25.6
25.466164 , -7.690333 , -25.314812 , 24.8 , -7.5 , -19.7
25.222292 , -7.620655 , -23.259335 , 25.5 , -7.7 , -25.6
25.186323 , -7.6103783 , -22.956161 , 24.8 , -7.5 , -19.7
25.170238 , -7.605782 , -22.820578 , 24.8 , -7.5 , -19.7
24.468195 , -7.4051995 , -16.90338 , 24.8 , -7.5 , -19.7
24.739088 , -7.4825974 , -19.18662 , 24.8 , -7.5 , -19.7
24.763447 , -7.489556 , -19.39191 , 24.8 , -7.5 , -19.7
24.81504 , -7.5042977 , -19.826773 , 25.5 , -7.7 , -25.6
25.454947 , -7.687127 , -25.220259 , 24.8 , -7.5 , -19.7
25.205494 , -7.615855 , -23.117727 , 24.8 , -7.5 , -19.7
24.48978 , -7.4113665 , -17.08531 , 24.8 , -7.5 , -19.7
24.752365 , -7.4863906 , -19.29852 , 24.8 , -7.5 , -19.7
24.771418 , -7.491833 , -19.459084 , 24.8 , -7.5 , -19.7
24.819122 , -7.5054636 , -19.861168 , 25.5 , -7.7 , -25.6
25.4574 , -7.6878285 , -25.240952 , 24.8 , -7.5 , -19.7
25.20713 , -7.6163225 , -23.131523 , 24.8 , -7.5 , -19.7
24.490791 , -7.4116554 , -17.093817 , 24.8 , -7.5 , -19.7
24.752987 , -7.4865675 , -19.303741 , 24.8 , -7.5 , -19.7
24.77179 , -7.4919395 , -19.462217 , 24.8 , -7.5 , -19.7
24.819313 , -7.505518 , -19.862774 , 25.5 , -7.7 , -25.6
25.457516 , -7.687861 , -25.241917 , 24.8 , -7.5 , -19.7
25.207205 , -7.6163445 , -23.132166 , 24.8 , -7.5 , -19.7
24.490837 , -7.411668 , -17.09421 , 24.8 , -7.5 , -19.7
24.793797 , -7.4982285 , -19.647747 , 25.5 , -7.7 , -25.6
25.442022 , -7.683435 , -25.111336 , 24.8 , -7.5 , -19.7
25.196905 , -7.6134014 , -23.045345 , 24.8 , -7.5 , -19.7
24.484497 , -7.409857 , -17.040783 , 24.8 , -7.5 , -19.7
24.749123 , -7.485463 , -19.271164 , 24.8 , -7.5 , -19.7
24.769466 , -7.4912763 , -19.44266 , 24.8 , -7.5 , -19.7
24.78168 , -7.4947658 , -19.54559 , 24.8 , -7.5 , -19.7
24.789007 , -7.496859 , -19.607351 , 24.8 , -7.5 , -19.7
24.793404 , -7.4981155 , -19.644411 , 24.8 , -7.5 , -19.7
24.830423 , -7.5086927 , -19.956423 , 25.5 , -7.7 , -25.6
25.497625 , -7.6993213 , -25.579988 , 25.5 , -7.7 , -25.6
25.772875 , -7.777964 , -27.899946 , 24.8 , -7.5 , -19.7
24.931633 , -7.53761 , -20.80948 , 25.5 , -7.7 , -25.6
25.142792 , -7.5979404 , -22.589252 , 24.8 , -7.5 , -19.7
25.144072 , -7.598306 , -22.600039 , 24.8 , -7.5 , -19.7
24.452345 , -7.400671 , -16.769773 , 24.8 , -7.5 , -19.7
24.773914 , -7.492547 , -19.480146 , 25.5 , -7.7 , -25.6
25.429699 , -7.679914 , -25.007467 , 24.8 , -7.5 , -19.7
25.188755 , -7.6110735 , -22.976671 , 24.8 , -7.5 , -19.7
24.479502 , -7.4084296 , -16.998667 , 24.8 , -7.5 , -19.7
24.787935 , -7.4965525 , -19.598305 , 25.5 , -7.7 , -25.6
25.438412 , -7.6824026 , -25.080889 , 24.8 , -7.5 , -19.7
25.194513 , -7.6127176 , -23.02518 , 24.8 , -7.5 , -19.7
