x,y,z,xx,yy,zz
16.8 , 17.1 , 126.5 , 16.8 , 17.1 , 126.5
16.798346 , 17.09876 , 126.50578 , 16.4 , 16.8 , 127.9
16.8 , 16.8 , 127.2 , 16.8 , 16.8 , 127.2
18.0 , 16.7 , 126.4 , 18.0 , 16.7 , 126.4
19.572966 , 17.668911 , 134.88614 , 19.1 , 16.3 , 127.3
20.604836 , 17.093023 , 133.49426 , 18.8 , 16.2 , 128.0
20.11764 , 16.515848 , 132.12921 , 19.0 , 16.5 , 126.4
19.457409 , 16.705336 , 129.47554 , 18.8 , 16.4 , 127.0
19.258936 , 16.72524 , 127.75432 , 19.0 , 16.6 , 125.9
19.116678 , 16.675777 , 127.04259 , 18.6 , 16.4 , 126.9
18.829466 , 16.585175 , 126.80646 , 18.3 , 16.3 , 127.6
18.160814 , 16.255302 , 128.33734 , 18.4 , 16.6 , 126.1
18.214773 , 16.550758 , 126.777855 , 18.1 , 16.5 , 126.4
18.107721 , 16.669443 , 125.77185 , 17.8 , 16.4 , 127.1
17.605333 , 16.382261 , 127.20001 , 17.6 , 16.3 , 126.9
17.363314 , 16.24949 , 127.31955 , 17.5 , 16.4 , 126.7
17.29792 , 16.329618 , 126.69204 , 17.3 , 16.3 , 126.9
17.158766 , 16.337769 , 126.81519 , 17.3 , 16.3 , 126.6
17.115248 , 16.242662 , 126.70914 , 17.0 , 16.3 , 126.8
16.929144 , 16.285597 , 126.645485 , 16.8 , 16.3 , 126.8
16.577787 , 16.291502 , 126.88624 , 16.8 , 16.4 , 126.1
16.605959 , 16.39431 , 126.1152 , 16.4 , 16.2 , 127.2
16.324183 , 16.257803 , 126.782585 , 16.4 , 16.5 , 125.5
16.114315 , 16.394123 , 126.052475 , 15.9 , 16.3 , 126.3
15.808227 , 16.456198 , 125.393105 , 15.6 , 16.3 , 126.3
15.245071 , 16.213877 , 126.57522 , 15.1 , 16.2 , 127.1
14.8073635 , 16.188625 , 127.103806 , 15.0 , 16.4 , 126.3
14.58426 , 16.332987 , 126.78298 , 14.6 , 16.2 , 127.0
14.390558 , 16.2998 , 126.64967 , 14.4 , 16.3 , 126.3
14.0538435 , 16.199688 , 126.67165 , 13.8 , 16.1 , 127.6
13.554007 , 16.14098 , 127.2564 , 13.9 , 16.4 , 125.9
13.4315605 , 16.283955 , 126.61715 , 13.5 , 16.1 , 126.7
13.398924 , 16.250357 , 125.85032 , 13.3 , 16.1 , 126.1
12.979363 , 15.950219 , 126.41017 , 13.0 , 15.8 , 126.3
12.767622 , 15.770139 , 125.966064 , 12.8 , 15.8 , 125.7
12.519054 , 15.600652 , 125.746574 , 12.2 , 15.3 , 127.2
11.972323 , 15.241239 , 126.8237 , 11.9 , 15.2 , 126.5
11.44338 , 14.864826 , 127.294 , 11.4 , 15.0 , 126.8
11.064954 , 14.837872 , 126.56208 , 10.8 , 14.6 , 127.9
10.360155 , 14.404052 , 128.06914 , 10.5 , 14.6 , 126.8
9.975775 , 14.28199 , 127.504364 , 9.9 , 14.4 , 127.4
9.525452 , 14.289147 , 126.94284 , 9.5 , 14.2 , 127.4
8.976029 , 14.015238 , 127.695915 , 9.1 , 14.3 , 126.1
8.665193 , 14.108247 , 126.16294 , 8.7 , 14.3 , 125.6
8.278716 , 14.283484 , 124.865 , 8.2 , 14.0 , 126.3
7.7874804 , 13.970922 , 125.81478 , 8.0 , 14.0 , 125.6
7.5325713 , 13.80255 , 125.82915 , 7.7 , 13.8 , 126.3
7.3994865 , 13.741357 , 125.87823 , 7.4 , 13.6 , 126.6
7.0802493 , 13.446103 , 126.89988 , 7.2 , 13.7 , 125.5
6.8878202 , 13.526955 , 125.72384 , 7.2 , 13.7 , 125.6
6.9529176 , 13.696176 , 125.015526 , 7.1 , 13.7 , 125.8
6.9916177 , 13.677661 , 125.728836 , 7.0 , 13.6 , 126.2
6.8749685 , 13.586621 , 126.25714 , 7.0 , 13.6 , 126.2
6.8849998 , 13.532186 , 126.433365 , 6.9 , 13.7 , 125.7
6.8509355 , 13.679309 , 125.75988 , 6.8 , 13.8 , 125.1
6.710588 , 13.847486 , 124.836586 , 6.7 , 13.8 , 125.3
6.605989 , 13.86758 , 124.88601 , 6.5 , 13.6 , 126.1
6.4039946 , 13.621253 , 126.0874 , 6.5 , 13.7 , 125.2
6.342411 , 13.592677 , 125.631454 , 6.4 , 13.6 , 124.7
6.345375 , 13.63559 , 124.26008 , 6.4 , 13.4 , 124.4
6.3072023 , 13.341371 , 124.0161 , 6.2 , 13.4 , 124.3
6.164109 , 13.264239 , 123.99386 , 6.1 , 13.1 , 125.2
5.9586673 , 13.058956 , 125.012474 , 6.0 , 13.1 , 124.2
5.895133 , 12.895365 , 124.64816 , 5.8 , 13.0 , 124.3
5.6966963 , 12.936634 , 123.79437 , 5.6 , 12.8 , 125.1
5.4382873 , 12.702367 , 125.05316 , 5.5 , 12.8 , 124.6
5.3229117 , 12.641317 , 125.03362 , 5.3 , 12.6 , 125.9
5.1739163 , 12.5450115 , 125.698425 , 5.3 , 12.7 , 125.0
5.125028 , 12.548001 , 125.753624 , 5.3 , 12.8 , 124.4
5.234578 , 12.808139 , 124.05582 , 5.3 , 12.8 , 124.4
5.2608266 , 12.844546 , 124.01575 , 5.3 , 12.7 , 125.0
5.276442 , 12.706929 , 124.88806 , 5.3 , 12.7 , 125.0
5.2858677 , 12.644169 , 125.29277 , 5.3 , 12.7 , 125.0
5.2917027 , 12.686856 , 125.054245 , 5.4 , 12.9 , 124.2
5.394921 , 12.89173 , 124.23499 , 5.4 , 12.8 , 125.1
5.474546 , 12.945143 , 124.40201 , 5.8 , 13.5 , 120.0
5.802026 , 13.431149 , 120.70048 , 5.6 , 12.8 , 125.3
5.8471155 , 13.218451 , 122.33295 , 5.7 , 12.9 , 124.3
5.64916 , 12.593111 , 126.70784 , 5.7 , 12.8 , 126.0
5.769443 , 12.815718 , 125.78527 , 5.7 , 12.8 , 126.1
5.722419 , 12.732 , 127.17223 , 5.8 , 13.0 , 125.2
5.8130016 , 12.977668 , 125.57453 , 5.8 , 13.0 , 125.2
5.867297 , 13.105972 , 124.86822 , 5.7 , 12.9 , 126.0
5.7206335 , 12.924134 , 125.9766 , 5.7 , 13.0 , 125.0
5.6524305 , 12.95435 , 125.46753 , 5.7 , 12.9 , 125.9
5.69145 , 12.952595 , 125.42066 , 5.7 , 12.9 , 125.9
5.69489 , 12.852229 , 126.34628 , 5.7 , 13.0 , 125.0
5.696926 , 12.990963 , 125.0932 , 5.7 , 13.0 , 126.0
5.698152 , 13.054572 , 125.51477 , 5.7 , 13.1 , 125.3
5.699045 , 13.112721 , 125.78768 , 5.8 , 13.1 , 125.0
5.799335 , 13.167599 , 124.673676 , 5.8 , 13.1 , 125.2
5.8596077 , 13.1206 , 124.964035 , 5.9 , 13.2 , 125.2
5.9160676 , 13.213034 , 125.23389 , 6.0 , 13.4 , 124.0
6.0687113 , 13.464543 , 124.00573 , 6.0 , 13.2 , 126.1
6.081575 , 13.340155 , 125.37071 , 6.0 , 13.1 , 126.1
6.0488725 , 13.088472 , 126.75412 , 6.3 , 13.9 , 121.6
6.314023 , 13.81917 , 121.91741 , 6.2 , 13.3 , 125.3
6.382243 , 13.742087 , 122.828224 , 6.1 , 13.1 , 126.2
6.095474 , 12.857874 , 127.76889 , 6.3 , 13.1 , 126.2
6.2566166 , 12.954058 , 126.94591 , 6.3 , 13.1 , 126.2
6.4138813 , 13.052892 , 126.46322 , 6.4 , 13.2 , 125.2
6.428352 , 13.171386 , 125.36086 , 6.3 , 13.1 , 125.2
6.37621 , 13.141272 , 124.70293 , 6.2 , 12.8 , 126.1
6.165794 , 12.746042 , 125.98787 , 6.1 , 12.8 , 124.4
6.039305 , 12.608401 , 124.85674 , 6.0 , 12.7 , 122.8
5.9233255 , 12.643857 , 121.89267 , 5.8 , 12.5 , 123.2
5.714247 , 12.406667 , 122.03214 , 5.6 , 12.4 , 121.6
5.448531 , 12.243974 , 121.45935 , 5.2 , 12.1 , 121.2
5.0288653 , 11.986295 , 120.07654 , 4.8 , 11.9 , 120.8
4.497499 , 11.670758 , 120.21055 , 4.5 , 11.4 , 121.5
4.497499 , 11.670758 , 120.21055 , 4.5 , 11.4 , 121.5
4.1574645 , 11.202362 , 120.984924 , 3.6 , 10.8 , 121.9
3.2950385 , 10.421849 , 122.08964 , 3.2 , 10.4 , 121.6
2.53834 , 9.913071 , 121.81815 , 2.9 , 9.9 , 123.0
2.4422429 , 9.487876 , 122.86838 , 2.6 , 9.6 , 123.0
2.2253385 , 9.132729 , 123.821045 , 2.2 , 9.2 , 124.0
1.8551722 , 8.839611 , 124.2129 , 1.8 , 8.8 , 124.7
1.4126304 , 8.403541 , 125.42982 , 1.2 , 8.3 , 126.4
0.8075849 , 7.9019947 , 127.05933 , 0.7 , 7.8 , 128.1
0.8075849 , 7.9019947 , 127.05933 , 0.7 , 7.8 , 128.1
0.1739957 , 7.3369327 , 129.42395 , -0.4 , 7.1 , 132.1
0.1739957 , 7.3369327 , 129.42395 , -0.4 , 7.1 , 132.1
0.1739957 , 7.3369327 , 129.42395 , -0.4 , 7.1 , 132.1
-0.98945236 , 6.614478 , 134.02107 , -2.1 , 6.5 , 139.3
-0.98945236 , 6.614478 , 134.02107 , -2.1 , 6.5 , 139.3
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-2.955949 , 5.8999925 , 142.26965 , -3.1 , 6.2 , 144.8
-5.9 , 4.2 , 170.8 , -5.9 , 4.2 , 170.8
-6.9418254 , 3.790603 , 175.82065 , -5.6 , 3.9 , 174.6
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-6.395405 , 3.1871777 , 184.56992 , -5.2 , 3.8 , 177.7
-5.4975944 , 3.1573026 , 185.33922 , 6.6 , 1.5 , 188.0
6.515045 , 1.24766 , 192.49506 , 6.8 , 1.9 , 185.9
11.502064 , 0.94020176 , 191.17249 , 7.0 , 2.2 , 183.7
11.502064 , 0.94020176 , 191.17249 , 7.0 , 2.2 , 183.7
11.502064 , 0.94020176 , 191.17249 , 7.0 , 2.2 , 183.7
8.534414 , 2.2881572 , 183.26917 , 7.4 , 3.3 , 175.8
8.534414 , 2.2881572 , 183.26917 , 7.4 , 3.3 , 175.8
8.534414 , 2.2881572 , 183.26917 , 7.4 , 3.3 , 175.8
8.422387 , 3.4589882 , 174.92413 , 7.3 , 4.6 , 168.3
8.226512 , 5.168401 , 164.21451 , 7.1 , 4.9 , 166.1
