x,y,z,xx,yy,zz
14.9 , -10.7 , -15.1 , 14.9 , -10.7 , -15.1
14.9 , -10.7 , -15.1 , 14.9 , -10.7 , -15.1
19.297953 , -13.858261 , -19.556986 , 14.9 , -10.7 , -15.1
17.19787 , -12.350147 , -17.428713 , 14.9 , -10.7 , -15.1
16.311796 , -11.71384 , -16.530746 , 14.9 , -10.7 , -15.1
15.754221 , -11.313435 , -15.965688 , 14.9 , -10.7 , -15.1
15.410932 , -11.066727 , -15.611277 , 14.8 , -10.6 , -14.0
15.108779 , -10.821741 , -14.312923 , 14.8 , -10.6 , -14.0
14.925322 , -10.673188 , -13.531511 , 14.9 , -10.7 , -15.1
14.994882 , -10.763584 , -15.034881 , 14.8 , -10.6 , -14.0
14.909111 , -10.690776 , -14.492421 , 14.6 , -10.4 , -9.5
14.590283 , -10.378999 , -8.993299 , 14.6 , -10.4 , -9.5
14.668005 , -10.441121 , -9.81889 , 15.3 , -11.0 , -21.1
15.261916 , -10.961884 , -20.12698 , 14.9 , -10.7 , -15.1
15.281305 , -11.022651 , -21.204012 , 14.9 , -10.7 , -15.1
14.764176 , -10.606515 , -13.08806 , 14.9 , -10.7 , -15.1
14.898124 , -10.703648 , -15.087185 , 14.9 , -10.7 , -15.1
14.919497 , -10.717498 , -15.401167 , 15.3 , -11.0 , -21.1
15.26398 , -10.972906 , -20.593142 , 14.8 , -10.6 , -14.0
15.038495 , -10.780151 , -17.57753 , 14.9 , -10.7 , -15.1
14.73588 , -10.564191 , -12.852754 , 15.3 , -11.0 , -21.1
15.2959 , -11.0077095 , -20.87304 , 14.9 , -10.7 , -15.1
15.12727 , -10.872258 , -18.484539 , 14.9 , -10.7 , -15.1
14.720081 , -10.566154 , -12.386428 , 14.9 , -10.7 , -15.1
14.871149 , -10.679023 , -14.658289 , 14.9 , -10.7 , -15.1
14.875045 , -10.679642 , -14.690722 , 14.6 , -10.4 , -9.5
14.599433 , -10.402177 , -9.523171 , 14.9 , -10.7 , -15.1
14.716124 , -10.517802 , -11.688292 , 14.9 , -10.7 , -15.1
15.027302 , -10.828316 , -17.488775 , 14.9 , -10.7 , -15.1
14.934699 , -10.730651 , -15.686967 , 15.3 , -11.0 , -21.1
15.271882 , -10.979728 , -20.74694 , 14.8 , -10.6 , -14.0
15.050612 , -10.790119 , -17.776737 , 15.3 , -11.0 , -21.1
15.065996 , -10.810683 , -17.842443 , 14.9 , -10.7 , -15.1
15.161677 , -10.907797 , -18.859478 , 15.3 , -11.0 , -21.1
15.118516 , -10.865841 , -18.357798 , 15.3 , -11.0 , -21.1
15.432927 , -11.100732 , -23.083315 , 14.9 , -10.7 , -15.1
14.960394 , -10.745978 , -15.998941 , 15.3 , -11.0 , -21.1
15.085571 , -10.8396015 , -17.87927 , 14.9 , -10.7 , -15.1
15.054249 , -10.810095 , -17.325851 , 14.6 , -10.4 , -9.5
14.396636 , -10.24763 , -6.4479914 , 14.6 , -10.4 , -9.5
14.414018 , -10.224027 , -6.1729956 , 14.9 , -10.7 , -15.1
14.826525 , -10.632971 , -13.821634 , 14.9 , -10.7 , -15.1
15.004803 , -10.808402 , -17.108355 , 14.6 , -10.4 , -9.5
14.723847 , -10.5107355 , -11.619092 , 15.3 , -11.0 , -21.1
15.130251 , -10.8327675 , -17.967949 , 14.9 , -10.7 , -15.1
15.258839 , -11.002932 , -20.97819 , 14.9 , -10.7 , -15.1
14.746373 , -10.590435 , -12.878443 , 14.6 , -10.4 , -9.5
14.598433 , -10.404924 , -9.565891 , 14.9 , -10.7 , -15.1
14.715554 , -10.519525 , -11.715214 , 14.9 , -10.7 , -15.1
15.026966 , -10.82936 , -17.505129 , 14.9 , -10.7 , -15.1
14.905893 , -10.707291 , -15.230494 , 14.6 , -10.4 , -9.5
14.618263 , -10.419106 , -9.853282 , 14.9 , -10.7 , -15.1
14.727985 , -10.528501 , -11.896618 , 14.9 , -10.7 , -15.1
15.034492 , -10.834802 , -17.615063 , 14.9 , -10.7 , -15.1
14.921368 , -10.721556 , -15.501618 , 14.9 , -10.7 , -15.1
14.902461 , -10.70257 , -15.14755 , 14.6 , -10.4 , -9.5
14.616116 , -10.416181 , -9.801773 , 14.9 , -10.7 , -15.1
14.726622 , -10.526661 , -11.864197 , 14.9 , -10.7 , -15.1
15.033667 , -10.83369 , -17.59547 , 14.9 , -10.7 , -15.1
14.920857 , -10.720873 , -15.489565 , 14.9 , -10.7 , -15.1
14.912516 , -10.712525 , -15.333766 , 14.9 , -10.7 , -15.1
14.90751 , -10.707516 , -15.240267 , 14.9 , -10.7 , -15.1
14.895017 , -10.695021 , -15.007022 , 14.6 , -10.4 , -9.5
14.611526 , -10.411527 , -9.715171 , 14.9 , -10.7 , -15.1
14.723728 , -10.523728 , -11.809607 , 14.9 , -10.7 , -15.1
15.038007 , -10.836123 , -17.648495 , 15.3 , -11.0 , -21.1
15.278754 , -10.986648 , -20.87971 , 14.8 , -10.6 , -14.0
15.050438 , -10.791003 , -17.795889 , 14.9 , -10.7 , -15.1
14.740681 , -10.568753 , -12.946892 , 15.3 , -11.0 , -21.1
15.299451 , -11.010994 , -20.94024 , 14.9 , -10.7 , -15.1
15.085019 , -10.833973 , -17.760406 , 14.6 , -10.4 , -9.5
14.447794 , -10.291431 , -7.271096 , 14.9 , -10.7 , -15.1
14.692836 , -10.500565 , -11.334 , 14.8 , -10.6 , -14.0
14.915237 , -10.719902 , -16.207869 , 14.9 , -10.7 , -15.1
14.84917 , -10.651971 , -14.645759 , 14.9 , -10.7 , -15.1
14.949468 , -10.751148 , -15.707077 , 14.9 , -10.7 , -15.1
14.909696 , -10.710705 , -15.244422 , 14.9 , -10.7 , -15.1
14.905817 , -10.706423 , -15.186655 , 14.9 , -10.7 , -15.1
14.90349 , -10.703854 , -15.151994 , 14.9 , -10.7 , -15.1
14.902093 , -10.702312 , -15.131195 , 14.9 , -10.7 , -15.1
14.901256 , -10.701387 , -15.118718 , 14.9 , -10.7 , -15.1
14.900753 , -10.700832 , -15.111231 , 14.9 , -10.7 , -15.1
14.900453 , -10.7005 , -15.106738 , 14.9 , -10.7 , -15.1
14.891207 , -10.691233 , -14.934853 , 14.6 , -10.4 , -9.5
14.609194 , -10.40921 , -9.67101 , 14.9 , -10.7 , -15.1
14.722256 , -10.5222645 , -11.781747 , 14.9 , -10.7 , -15.1
15.031022 , -10.831028 , -17.54554 , 14.9 , -10.7 , -15.1
14.91923 , -10.719235 , -15.458869 , 14.9 , -10.7 , -15.1
