x,y,z,xx,yy,zz
x,y,z,xx,yy,zz
-42.4 , -1.3 , -21.7 , -42.4 , -1.3 , -21.7
-42.4 , -1.3 , -21.7 , -42.4 , -1.3 , -21.7
-42.4 , -1.3 , -21.7 , -42.4 , -1.3 , -21.7
-48.198277 , -1.4777772 , -24.667513 , -42.4 , -1.3 , -21.7
-46.257484 , -1.4182718 , -23.67423 , -42.4 , -1.3 , -21.7
-44.796253 , -1.37347 , -22.926384 , -42.4 , -1.3 , -21.7
-43.85541 , -1.3446233 , -22.444868 , -42.4 , -1.3 , -21.7
-43.27706 , -1.326891 , -22.148874 , -42.4 , -1.3 , -21.7
-43.27706 , -1.326891 , -22.148874 , -42.4 , -1.3 , -21.7
-42.92706 , -1.3161598 , -21.969748 , -42.4 , -1.3 , -21.7
-42.71642 , -1.3097013 , -21.861937 , -42.4 , -1.3 , -21.7
-42.58989 , -1.305822 , -21.797182 , -42.4 , -1.3 , -21.7
-42.513943 , -1.3034935 , -21.758314 , -42.4 , -1.3 , -21.7
-42.513943 , -1.3034935 , -21.758314 , -42.4 , -1.3 , -21.7
-42.468365 , -1.3020961 , -21.734991 , -42.4 , -1.3 , -21.7
-42.445625 , -1.3020712 , -21.743895 , -43.0 , -1.4 , -24.5
-43.01904 , -1.3998556 , -24.4875 , -42.4 , -1.3 , -21.7
-42.773586 , -1.3602626 , -23.382248 , -42.4 , -1.3 , -21.7
-42.14525 , -1.2563375 , -20.47439 , -42.4 , -1.3 , -21.7
-42.36692 , -1.2937632 , -21.523527 , -42.4 , -1.3 , -21.7
-42.36692 , -1.2937632 , -21.523527 , -42.4 , -1.3 , -21.7
-42.380154 , -1.2962577 , -21.594116 , -42.4 , -1.3 , -21.7
-42.38809 , -1.2977546 , -21.636469 , -42.4 , -1.3 , -21.7
-42.392857 , -1.2986526 , -21.661882 , -42.4 , -1.3 , -21.7
-42.392857 , -1.2986526 , -21.661882 , -42.4 , -1.3 , -21.7
-42.395714 , -1.2991916 , -21.67713 , -42.4 , -1.3 , -21.7
-42.397427 , -1.2995149 , -21.686277 , -42.4 , -1.3 , -21.7
-42.398457 , -1.299709 , -21.691767 , -42.4 , -1.3 , -21.7
-42.399075 , -1.2998253 , -21.69506 , -42.4 , -1.3 , -21.7
-42.399445 , -1.2998952 , -21.697037 , -42.4 , -1.3 , -21.7
-42.399445 , -1.2998952 , -21.697037 , -42.4 , -1.3 , -21.7
-42.39967 , -1.2999371 , -21.698221 , -42.4 , -1.3 , -21.7
-42.3998 , -1.2999622 , -21.698935 , -42.4 , -1.3 , -21.7
-42.399883 , -1.2999773 , -21.69936 , -42.4 , -1.3 , -21.7
-42.399883 , -1.2999773 , -21.69936 , -42.4 , -1.3 , -21.7
-42.39993 , -1.2999864 , -21.699617 , -42.4 , -1.3 , -21.7
-42.39996 , -1.2999918 , -21.69977 , -42.4 , -1.3 , -21.7
-42.399975 , -1.2999951 , -21.699862 , -42.4 , -1.3 , -21.7
-42.399986 , -1.299997 , -21.699919 , -42.4 , -1.3 , -21.7
-42.39999 , -1.2999982 , -21.699951 , -42.4 , -1.3 , -21.7
-42.399998 , -1.2999989 , -21.699972 , -42.4 , -1.3 , -21.7
-42.399998 , -1.2999994 , -21.699984 , -42.4 , -1.3 , -21.7
-42.399998 , -1.2999996 , -21.699991 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999997 , -21.699995 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999998 , -21.699997 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999998 , -21.699997 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999998 , -21.699997 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999998 , -21.699999 , -42.4 , -1.3 , -21.7
-42.4 , -1.2999998 , -21.699999 , -42.4 , -1.3 , -21.7
-42.282635 , -1.2930961 , -21.016516 , -40.7 , -1.2 , -11.8
