x,y,z,xx,yy,zz
16.9 , 20.0 , -14.8 , 16.9 , 20.0 , -14.8
16.9 , 20.0 , -14.8 , 16.9 , 20.0 , -14.8
16.4 , 19.5 , -8.4 , 16.4 , 19.5 , -8.4
19.091846 , 22.685108 , -10.790237 , 16.9 , 20.0 , -14.8
18.220339 , 21.617477 , -12.38457 , 16.9 , 20.0 , -14.8
17.902496 , 21.160925 , -17.333223 , 16.4 , 19.5 , -8.4
17.01386 , 20.220612 , -9.317791 , 16.4 , 19.5 , -8.4
16.469555 , 19.633759 , -5.11664 , 16.4 , 19.5 , -8.4
16.551172 , 19.68873 , -7.893494 , 16.9 , 20.0 , -14.8
16.985067 , 20.108212 , -14.384562 , 16.9 , 20.0 , -14.8
17.246258 , 20.359955 , -18.3418 , 16.9 , 20.0 , -14.8
16.988255 , 20.09628 , -15.407951 , 16.4 , 19.5 , -8.4
16.476053 , 19.580944 , -9.055813 , 16.9 , 20.0 , -14.8
16.638739 , 19.741726 , -11.261785 , 16.4 , 19.5 , -8.4
16.647173 , 19.75023 , -11.457303 , 16.9 , 20.1 , -15.5
16.64767 , 19.848219 , -12.196711 , 16.9 , 20.0 , -14.8
17.091866 , 20.247978 , -17.605497 , 16.4 , 19.5 , -8.4
16.459688 , 19.51714 , -8.83887 , 16.9 , 20.0 , -14.8
16.631712 , 19.725603 , -11.306534 , 16.9 , 20.0 , -14.8
17.135466 , 20.2318 , -17.778318 , 16.9 , 20.0 , -14.8
16.942505 , 20.040285 , -15.322483 , 16.9 , 20.0 , -14.8
16.925507 , 20.024176 , -15.113538 , 16.9 , 20.0 , -14.8
16.915306 , 20.014503 , -14.988133 , 16.9 , 20.0 , -14.8
16.89519 , 19.994724 , -14.7339 , 16.4 , 19.5 , -8.4
16.418331 , 19.518051 , -8.631912 , 16.9 , 20.0 , -14.8
16.606459 , 19.70629 , -11.040999 , 16.9 , 20.0 , -14.8
17.120274 , 20.220173 , -17.618523 , 16.9 , 20.0 , -14.8
16.933184 , 20.033123 , -15.224163 , 16.9 , 20.0 , -14.8
16.91991 , 20.01989 , -15.054616 , 16.9 , 20.1 , -15.5
16.911942 , 20.111855 , -15.652171 , 16.9 , 20.0 , -14.8
16.90717 , 20.067158 , -15.311639 , 16.9 , 20.1 , -15.5
16.9043 , 20.060282 , -15.246902 , 16.9 , 20.0 , -14.8
16.90258 , 20.056168 , -15.208129 , 16.9 , 20.0 , -14.8
16.90155 , 19.953709 , -14.48494 , 16.9 , 20.0 , -14.8
16.887943 , 19.979464 , -14.586313 , 16.4 , 19.5 , -8.4
16.417442 , 19.515778 , -8.611613 , 16.9 , 20.1 , -15.5
16.6026 , 19.798735 , -11.666224 , 16.9 , 20.0 , -14.8
17.117989 , 20.275526 , -17.993017 , 16.9 , 20.0 , -14.8
16.932121 , 19.986992 , -14.895243 , 16.9 , 20.0 , -14.8
16.919271 , 20.012196 , -14.997139 , 16.9 , 20.0 , -14.8
16.911564 , 20.007315 , -14.918286 , 16.9 , 20.0 , -14.8
16.906937 , 20.00439 , -14.870973 , 16.9 , 20.0 , -14.8
16.904163 , 20.002634 , -14.842584 , 16.9 , 20.0 , -14.8
16.889112 , 19.988222 , -14.654421 , 16.4 , 19.5 , -8.4
16.401499 , 19.500948 , -8.41533 , 16.4 , 19.5 , -8.4
16.102276 , 19.201948 , -4.5868435 , 16.4 , 19.5 , -8.4
16.339922 , 19.43973 , -7.629654 , 16.9 , 20.0 , -14.8
16.852339 , 19.952219 , -14.189105 , 16.9 , 20.0 , -14.8
17.168207 , 20.268137 , -18.232573 , 16.9 , 20.0 , -14.8
16.962801 , 20.062757 , -15.603545 , 16.9 , 20.0 , -14.8
16.937695 , 20.037668 , -15.282306 , 16.9 , 20.0 , -14.8
16.922619 , 20.022604 , -15.089422 , 16.9 , 20.0 , -14.8
16.92359 , 20.02617 , -15.101362 , 17.3 , 20.5 , -19.9
