x,y,z,xx,yy,zz
3.2 , 8.4 , -21.0 , 3.2 , 8.4 , -21.0
3.2 , 8.4 , -21.0 , 3.2 , 8.4 , -21.0
4.2183294 , 11.073113 , -27.682785 , 3.2 , 8.4 , -21.0
3.6949017 , 9.699116 , -24.247793 , 3.2 , 8.4 , -21.0
3.5035067 , 9.196706 , -22.991764 , 3.2 , 8.4 , -21.0
3.3835223 , 8.881746 , -22.204367 , 3.2 , 8.4 , -21.0
3.3104198 , 8.689852 , -21.72463 , 3.2 , 8.4 , -21.0
3.2663178 , 8.574084 , -21.435213 , 3.2 , 8.4 , -21.0
3.2398052 , 8.504488 , -21.26122 , 3.2 , 8.4 , -21.0
3.2238863 , 8.462701 , -21.15675 , 3.2 , 8.4 , -21.0
3.2143323 , 8.437623 , -21.094057 , 3.2 , 8.4 , -21.0
3.2085993 , 8.422574 , -21.056435 , 3.2 , 8.4 , -21.0
3.2082849 , 8.406508 , -20.904243 , 3.3 , 8.2 , -17.1
3.2998083 , 8.214244 , -17.244036 , 3.2 , 8.4 , -21.0
3.2611382 , 8.286215 , -18.699251 , 3.2 , 8.4 , -21.0
3.1573956 , 8.490329 , -22.712013 , 3.2 , 8.4 , -21.0
3.1942694 , 8.414554 , -21.253954 , 3.2 , 8.4 , -21.0
3.1965616 , 8.408732 , -21.152386 , 3.2 , 8.4 , -21.0
3.197937 , 8.40524 , -21.091434 , 3.2 , 8.4 , -21.0
3.198762 , 8.403144 , -21.054861 , 3.2 , 8.4 , -21.0
3.1992574 , 8.401886 , -21.032917 , 3.2 , 8.4 , -21.0
3.1995544 , 8.401133 , -21.01975 , 3.2 , 8.4 , -21.0
3.2029898 , 8.394159 , -20.88478 , 3.3 , 8.2 , -17.1
3.296628 , 8.206827 , -17.232336 , 3.2 , 8.4 , -21.0
3.2592013 , 8.28165 , -18.691658 , 3.2 , 8.4 , -21.0
3.1562293 , 8.487573 , -22.707367 , 3.2 , 8.4 , -21.0
3.1935663 , 8.412886 , -21.2511 , 3.2 , 8.4 , -21.0
3.1961393 , 8.407732 , -21.150673 , 3.2 , 8.4 , -21.0
3.1976836 , 8.404638 , -21.090406 , 3.2 , 8.4 , -21.0
3.1986103 , 8.402783 , -21.054245 , 3.2 , 8.4 , -21.0
3.199166 , 8.4016695 , -21.032545 , 3.2 , 8.4 , -21.0
3.1994996 , 8.401002 , -21.01953 , 3.2 , 8.4 , -21.0
3.1996999 , 8.400601 , -21.011717 , 3.2 , 8.4 , -21.0
3.1998198 , 8.40036 , -21.00703 , 3.2 , 8.4 , -21.0
3.199892 , 8.400215 , -21.004215 , 3.2 , 8.4 , -21.0
3.1999352 , 8.400129 , -21.002531 , 3.2 , 8.4 , -21.0
3.1999612 , 8.400078 , -21.001518 , 3.2 , 8.4 , -21.0
3.1999767 , 8.400046 , -21.000912 , 3.2 , 8.4 , -21.0
3.2032156 , 8.393568 , -20.874588 , 3.3 , 8.2 , -17.1
3.296764 , 8.2064705 , -17.226204 , 3.2 , 8.4 , -21.0
3.259289 , 8.281422 , -18.68773 , 3.2 , 8.4 , -21.0
3.1562827 , 8.487434 , -22.704973 , 3.2 , 8.4 , -21.0
3.1935992 , 8.412801 , -21.249636 , 3.2 , 8.4 , -21.0
3.196159 , 8.407681 , -21.149794 , 3.2 , 8.4 , -21.0
3.1976953 , 8.404609 , -21.08988 , 3.2 , 8.4 , -21.0
3.2019827 , 8.396034 , -20.922674 , 3.3 , 8.2 , -17.1
