x,y,z,xx,yy,zz
-8.4 , -14.0 , -21.4 , -8.4 , -14.0 , -21.4
-8.4 , -14.0 , -21.4 , -8.4 , -14.0 , -21.4
-10.153578 , -16.92263 , -25.867449 , -8.4 , -14.0 , -21.4
-9.374266 , -15.646267 , -22.5921 , -8.1 , -13.6 , -14.9
-8.897677 , -14.927739 , -17.03098 , -8.4 , -14.0 , -21.4
-8.701794 , -14.562586 , -18.750607 , -8.4 , -14.0 , -21.4
-8.810264 , -14.641028 , -24.896957 , -8.4 , -14.0 , -21.4
-8.592982 , -14.315251 , -22.257975 , -8.4 , -14.0 , -21.4
-8.515944 , -14.189401 , -21.915466 , -8.4 , -14.0 , -21.4
-8.441613 , -14.074803 , -21.19359 , -8.1 , -13.6 , -14.9
-8.141767 , -13.66823 , -15.0856905 , -8.1 , -13.6 , -14.9
-8.013927 , -13.491621 , -12.668805 , -8.4 , -14.0 , -21.4
-8.36709 , -13.960628 , -20.428406 , -8.4 , -14.0 , -21.4
-8.556961 , -14.211935 , -24.648617 , -8.4 , -14.0 , -21.4
-8.436103 , -14.049761 , -22.089073 , -8.4 , -14.0 , -21.4
-8.421672 , -14.029872 , -21.813671 , -8.4 , -14.0 , -21.4
-8.413006 , -14.017928 , -21.648254 , -8.4 , -14.0 , -21.4
-8.4078045 , -14.010757 , -21.54896 , -8.4 , -14.0 , -21.4
-8.383657 , -13.978406 , -21.03465 , -8.1 , -13.6 , -14.9
-8.10281 , -13.603873 , -14.953627 , -8.1 , -13.6 , -14.9
-7.995637 , -13.460913 , -12.635101 , -8.4 , -14.0 , -21.4
-8.353097 , -13.937508 , -20.38116 , -8.4 , -14.0 , -21.4
-8.548787 , -14.198409 , -24.622196 , -8.4 , -14.0 , -21.4
-8.431059 , -14.041429 , -22.072006 , -8.4 , -14.0 , -21.4
-8.39439 , -13.992529 , -21.277937 , -8.1 , -13.6 , -14.9
-8.129227 , -13.638973 , -15.532912 , -8.4 , -14.0 , -21.4
-8.225308 , -13.767081 , -17.614807 , -8.1 , -13.6 , -14.9
-8.239503 , -13.786006 , -17.922434 , -8.4 , -14.0 , -21.4
-8.244754 , -13.793006 , -18.036264 , -8.4 , -14.0 , -21.4
-8.542342 , -14.189792 , -24.484045 , -8.4 , -14.0 , -21.4
-8.400685 , -14.000915 , -21.41483 , -8.1 , -13.6 , -14.9
-8.133342 , -13.644457 , -15.622394 , -8.4 , -14.0 , -21.4
-8.228204 , -13.770938 , -17.677717 , -8.1 , -13.6 , -14.9
-8.241191 , -13.788255 , -17.959133 , -8.4 , -14.0 , -21.4
-8.245771 , -13.794362 , -18.058374 , -8.4 , -14.0 , -21.4
-8.542954 , -14.190606 , -24.497349 , -8.4 , -14.0 , -21.4
-8.400977 , -14.001301 , -21.421156 , -8.1 , -13.6 , -14.9
-8.133534 , -13.644713 , -15.626582 , -8.4 , -14.0 , -21.4
-8.228337 , -13.771117 , -17.680649 , -8.1 , -13.6 , -14.9
-8.24127 , -13.78836 , -17.960844 , -8.4 , -14.0 , -21.4
-8.245819 , -13.794424 , -18.059406 , -8.4 , -14.0 , -21.4
-8.542983 , -14.190644 , -24.497967 , -8.4 , -14.0 , -21.4
