x,y,z,xx,yy,zz
0.2 , -11.8 , -22.3 , 0.2 , -11.8 , -22.3
0.2 , -11.8 , -22.3 , 0.2 , -11.8 , -22.3
0.25125042 , -14.823776 , -28.014423 , 0.2 , -11.8 , -22.3
0.23069632 , -13.611081 , -25.722637 , 0.2 , -11.8 , -22.3
0.2189184 , -12.916185 , -24.4094 , 0.2 , -11.8 , -22.3
0.21145917 , -12.476091 , -23.577696 , 0.2 , -11.8 , -22.3
0.20689887 , -12.207033 , -23.069223 , 0.2 , -11.8 , -22.3
0.20379794 , -11.998813 , -22.218159 , 0.2 , -11.5 , -16.3
0.20233472 , -11.656269 , -16.93076 , 0.2 , -11.8 , -22.3
0.20145884 , -11.71019 , -18.945032 , 0.2 , -11.8 , -22.3
0.20075914 , -11.910888 , -23.706602 , 0.2 , -11.5 , -16.3
0.20050538 , -11.565787 , -17.07576 , 0.2 , -11.8 , -22.3
0.20031539 , -11.653844 , -19.0399 , 0.2 , -11.8 , -22.3
0.2001903 , -11.947845 , -25.053589 , 0.2 , -11.8 , -22.3
0.20011604 , -11.830182 , -22.779657 , 0.2 , -11.8 , -22.3
0.20006432 , -11.793673 , -22.104742 , 0.2 , -11.5 , -16.3
0.20003904 , -11.529918 , -16.856636 , 0.2 , -11.8 , -22.3
0.20002447 , -11.630749 , -18.888834 , 0.2 , -11.8 , -22.3
0.20001279 , -11.87035 , -23.69333 , 0.2 , -11.5 , -16.3
0.20000902 , -11.521542 , -16.721178 , 0.2 , -11.5 , -16.3
0.20000532 , -11.336059 , -13.015499 , 0.2 , -11.5 , -16.3
0.20000297 , -11.48997 , -16.096216 , 0.2 , -11.8 , -22.3
0.20000196 , -11.775866 , -21.815239 , 0.2 , -11.8 , -22.3
0.20000115 , -11.961697 , -25.53271 , 0.2 , -11.8 , -22.3
0.2000007 , -11.839257 , -23.084398 , 0.2 , -11.8 , -22.3
0.20000042 , -11.823574 , -22.771023 , 0.2 , -11.8 , -22.3
0.20000026 , -11.814149 , -22.582697 , 0.2 , -11.8 , -22.3
0.20000015 , -11.808491 , -22.469635 , 0.2 , -11.8 , -22.3
0.20000009 , -11.805095 , -22.401783 , 0.2 , -11.8 , -22.3
0.20000005 , -11.803057 , -22.361073 , 0.2 , -11.8 , -22.3
0.20000003 , -11.801834 , -22.336643 , 0.2 , -11.8 , -22.3
0.20000002 , -11.779949 , -21.898954 , 0.2 , -11.5 , -16.3
0.20000002 , -11.521441 , -16.728827 , 0.2 , -11.8 , -22.3
0.20000002 , -11.625012 , -18.800232 , 0.2 , -11.8 , -22.3
0.2 , -11.930299 , -24.905958 , 0.2 , -11.8 , -22.3
0.2 , -11.794016 , -22.180311 , 0.2 , -11.5 , -16.3
0.2 , -11.530243 , -16.904842 , 0.2 , -11.8 , -22.3
0.2 , -11.631098 , -18.921934 , 0.2 , -11.8 , -22.3
0.2 , -11.934059 , -24.981174 , 0.2 , -11.8 , -22.3
0.19999999 , -11.7958 , -22.216017 , 0.2 , -11.5 , -16.3
0.2 , -11.531394 , -16.927872 , 0.2 , -11.8 , -22.3
0.2 , -11.631887 , -18.937757 , 0.2 , -11.8 , -22.3
0.2 , -11.9345455 , -24.99091 , 0.2 , -11.8 , -22.3
0.20000002 , -11.822005 , -22.740088 , 0.2 , -11.8 , -22.3
0.20000002 , -11.789342 , -22.086842 , 0.2 , -11.5 , -16.3
0.2 , -11.507924 , -16.458487 , 0.2 , -11.5 , -16.3
0.2 , -11.403522 , -14.370423 , 0.2 , -11.8 , -22.3
0.2 , -11.754928 , -21.398561 , 0.2 , -11.8 , -22.3
0.2 , -11.949906 , -25.298101 , 0.2 , -11.8 , -22.3
0.2 , -11.83172 , -22.93441 , 0.2 , -11.8 , -22.3
0.2 , -11.819042 , -22.68085 , 0.2 , -11.8 , -22.3
0.2 , -11.811428 , -22.528553 , 0.2 , -11.8 , -22.3
0.2 , -11.806857 , -22.437141 , 0.2 , -11.8 , -22.3
0.2 , -11.804114 , -22.382286 , 0.2 , -11.8 , -22.3
0.2 , -11.781022 , -21.920425 , 0.2 , -11.5 , -16.3
0.2 , -11.501481 , -16.329622 , 0.2 , -11.5 , -16.3
0.19999999 , -11.401478 , -14.329562 , 0.2 , -11.8 , -22.3
0.2 , -11.752621 , -21.352411 , 0.2 , -11.8 , -22.3
0.19999999 , -11.878196 , -23.863913 , 0.2 , -11.5 , -16.3
0.20000002 , -11.5461235 , -17.222475 , 0.2 , -11.8 , -22.3
0.2 , -11.641912 , -19.138258 , 0.2 , -11.8 , -22.3
0.2 , -11.940666 , -25.113314 , 0.2 , -11.8 , -22.3
0.2 , -11.825863 , -22.817253 , 0.2 , -11.8 , -22.3
0.2 , -11.791116 , -22.122301 , 0.2 , -11.5 , -16.3
0.20000002 , -11.528389 , -16.867775 , 0.2 , -11.8 , -22.3
0.2 , -11.62982 , -18.896418 , 0.2 , -11.8 , -22.3
0.2 , -11.933273 , -24.965458 , 0.2 , -11.8 , -22.3
0.2 , -11.821204 , -22.724085 , 0.2 , -11.8 , -22.3
0.2 , -11.812725 , -22.55451 , 0.2 , -11.8 , -22.3
0.2 , -11.785047 , -22.00094 , 0.2 , -11.5 , -16.3
0.2 , -11.524578 , -16.791553 , 0.2 , -11.8 , -22.3
0.2 , -11.627189 , -18.843761 , 0.2 , -11.8 , -22.3
0.2 , -11.931647 , -24.932934 , 0.2 , -11.8 , -22.3
0.2 , -11.820184 , -22.703657 , 0.2 , -11.8 , -22.3
0.20000002 , -11.788503 , -22.070047 , 0.2 , -11.5 , -16.3
0.2 , -11.526736 , -16.834738 , 0.2 , -11.8 , -22.3
0.2 , -11.628681 , -18.873627 , 0.2 , -11.8 , -22.3
0.2 , -11.869408 , -23.688137 , 0.2 , -11.5 , -16.3
0.2 , -11.5377245 , -17.054499 , 0.2 , -11.8 , -22.3
0.2 , -11.636218 , -19.02436 , 0.2 , -11.8 , -22.3
0.2 , -11.937199 , -25.043983 , 0.2 , -11.8 , -22.3
0.2 , -11.823676 , -22.773506 , 0.2 , -11.8 , -22.3
0.2 , -11.790111 , -22.102215 , 0.2 , -11.5 , -16.3
0.2 , -11.527751 , -16.855038 , 0.2 , -11.8 , -22.3
0.19999999 , -11.629381 , -18.887634 , 0.2 , -11.8 , -22.3
0.2 , -11.933002 , -24.960041 , 0.2 , -11.8 , -22.3
0.2 , -11.821034 , -22.720684 , 0.2 , -11.8 , -22.3
0.2 , -11.812624 , -22.55247 , 0.2 , -11.8 , -22.3
0.20000002 , -11.807575 , -22.451494 , 0.2 , -11.8 , -22.3
0.2 , -11.804546 , -22.3909 , 0.2 , -11.8 , -22.3
0.2 , -11.802727 , -22.35454 , 0.2 , -11.8 , -22.3
0.2 , -11.801637 , -22.332724 , 0.2 , -11.8 , -22.3
0.20000002 , -11.8009815 , -22.319633 , 0.2 , -11.8 , -22.3
0.2 , -11.800589 , -22.31178 , 0.2 , -11.8 , -22.3
0.19999999 , -11.800354 , -22.307068 , 0.2 , -11.8 , -22.3
0.19999999 , -11.800212 , -22.304237 , 0.2 , -11.8 , -22.3
0.2 , -11.800127 , -22.302544 , 0.2 , -11.8 , -22.3
0.2 , -11.8000765 , -22.301527 , 0.2 , -11.8 , -22.3
0.2 , -11.800046 , -22.300915 , 0.2 , -11.8 , -22.3
